url, cart, shop, sell, busket, sale, wish list, order, price, $, ils, pay, store, buy, offers, deals, basket, product, item, deal, market, itm, bag, visa, mastercard, paypal, condision, sort, PAYMENT, buy now, add to cart, add to basket, add to wishlist, track order, usd, euro, wishlist
http://www.bestbuy.com/site/shure-se215-earbud-headphones/1307697696.p?id=mp1307697696&skuId=1307697696 , 1,7,5,0,1,0,14,7,2,0,1,3,20,5,6,0,15,4,8,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
http://www.jcpenney.com/shoes/nike-flex-2015-womens-running-shoes/prod.jump?ppId=pp5005090380&catId=cat100420086&&_dyncharset=UTF-8&colorizedImg=DP0210201505073197M.tif , 0,1,0,0,0,0,2,1,0,2,0,3,0,0,0,0,3,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
http://www.dx.com/p/protective-pet-matte-screen-protector-guard-film-for-samsung-galaxy-s3-i9300-5-piece-pack-138749 , 5,1,1,0,4,2,4,15,2,7,0,1,5,1,2,0,7,8,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
http://www.ebay.com.au/itm/Shure-SE215CL-CLEAR-In-Ear-Sound-Isolating-Pro-Stereo-Earphones-/361082059130 , 1,1,25,0,1,2,1,5,20,15,19,5,13,1,1,0,8,39,1,0,0,1,0,0,3,0,0,12,0,1,0,0,0,0,0,0,
http://www.amazon.com/AmazonBasics-Bluetooth-Keyboard-Android-Devices/dp/B005OOKNP4 , 11,7,7,0,1,5,13,13,20,10,2,6,8,2,7,0,11,18,9,2,0,2,1,0,0,0,0,2,0,2,0,0,0,1,0,2,
http://shop-us.shure.com/p/se215-sound-isolating-earphones-clear , 1,2,0,0,0,0,2,0,1,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
http://www.fullcompass.com/product/400134.html?utm_source=shuresite&utm_medium=manufacturer&utm_campaign=feed , 0,1,0,0,0,0,10,28,40,0,1,0,0,2,1,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
http://www.amazon.in/Shure-SE215-CL-Sound-Isolating-Earphones/dp/B004PO10E2 , 6,16,9,0,7,3,8,9,5,3,12,18,6,2,9,0,10,9,12,0,0,23,0,0,0,0,2,0,1,1,0,0,0,0,0,0,
http://market.marmelada.co.il/products?tag=%D7%A7%D7%A0%D7%99%D7%99%D7%AA%20%D7%9B%D7%95%D7%91%D7%A2%D7%99%D7%9D%20%D7%91%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98 , 0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
http://headphones.com.au/psingle?productID=523 , 3,2,0,0,0,0,1,2,1,0,1,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
http://www.castro.com/he/ , 0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.renuar.co.il/ , 0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.shoepanic.co.il/ , 0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
http://priceless-chic.com/ , 1,0,0,0,2,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
http://www.amazon.ca/Shure-SE215-K-Sound-Monitor-Black/dp/B004PNZFZ8 , 19,4,8,0,1,7,14,16,31,10,1,12,5,1,4,0,10,22,4,3,0,2,1,0,0,0,0,1,0,6,0,0,0,0,0,2,
